curriculum,grade,subject,topic,subtopic,target_total,target_mcq,target_fill,target_match,target_frq
IB,Grade 12,Biology HL,Animal Physiology (HL),Action Potentials & Synaptic Integration,26,10,6,2,8
IB,Grade 12,Biology HL,Animal Physiology (HL),Gas Exchange: Ventilation/Perfusion Matching,26,10,6,2,8
IB,Grade 12,Biology HL,Animal Physiology (HL),Immunity: B/T Cells & Antibody Production,26,10,6,2,8
IB,Grade 12,Biology HL,Animal Physiology (HL),Kidney Function & Osmoregulation (Nephron),26,10,6,2,8
IB,Grade 12,Biology HL,Animal Physiology (HL),Muscle Structure & Sliding Filament,26,10,6,2,8
IB,Grade 12,Biology HL,Animal Physiology (HL),Reproductive Hormones & Menstrual Cycle,26,10,6,2,8
IB,Grade 12,Biology HL,Biotechnology (HL),CRISPR–Cas Systems (Qualitative),26,10,6,2,8
IB,Grade 12,Biology HL,Biotechnology (HL),Cloning Vectors & Recombinant DNA,26,10,6,2,8
IB,Grade 12,Biology HL,Biotechnology (HL),Culturing & Bioreactors (Basics),26,10,6,2,8
IB,Grade 12,Biology HL,Biotechnology (HL),"Ethical, Legal & Social Implications",26,10,6,2,8
IB,Grade 12,Biology HL,Biotechnology (HL),PCR/qPCR & DNA Profiling,26,10,6,2,8
IB,Grade 12,Biology HL,Biotechnology (HL),Restriction Enzymes & DNA Ligation,26,10,6,2,8
IB,Grade 12,Biology HL,Cell Biology,Cell Division: Cell Cycle & Mitosis,26,10,6,2,8
IB,Grade 12,Biology HL,Cell Biology,Cell Theory & Cell Size (SA:V),26,10,6,2,8
IB,Grade 12,Biology HL,Cell Biology,Membrane Structure & Transport (Intro),26,10,6,2,8
IB,Grade 12,Biology HL,Cell Biology,"Microscopy, Magnification & Measurement",26,10,6,2,8
IB,Grade 12,Biology HL,Cell Biology,Origin of Cells & Endosymbiosis,26,10,6,2,8
IB,Grade 12,Biology HL,Cell Biology,Prokaryotic vs Eukaryotic Ultrastructure,26,10,6,2,8
IB,Grade 12,Biology HL,Cell Communication & Signal Transduction (HL),Apoptosis Pathways,26,10,6,2,8
IB,Grade 12,Biology HL,Cell Communication & Signal Transduction (HL),Feedback Loops & Crosstalk,26,10,6,2,8
IB,Grade 12,Biology HL,Cell Communication & Signal Transduction (HL),Gene Regulation via Signalling,26,10,6,2,8
IB,Grade 12,Biology HL,Cell Communication & Signal Transduction (HL),Receptors: GPCRs & RTKs,26,10,6,2,8
IB,Grade 12,Biology HL,Cell Communication & Signal Transduction (HL),"Second Messengers (cAMP, Ca2+)",26,10,6,2,8
IB,Grade 12,Biology HL,Cell Communication & Signal Transduction (HL),Signal Cascades & Amplification,26,10,6,2,8
IB,Grade 12,Biology HL,Developmental Biology (HL),Cell Differentiation & Stem Cells,26,10,6,2,8
IB,Grade 12,Biology HL,Developmental Biology (HL),"Cleavage, Gastrulation & Germ Layers",26,10,6,2,8
IB,Grade 12,Biology HL,Developmental Biology (HL),Gametogenesis & Fertilization,26,10,6,2,8
IB,Grade 12,Biology HL,Developmental Biology (HL),Hox Genes & Pattern Formation,26,10,6,2,8
IB,Grade 12,Biology HL,Developmental Biology (HL),Morphogens & Gradients,26,10,6,2,8
IB,Grade 12,Biology HL,Developmental Biology (HL),Organogenesis (Overview),26,10,6,2,8
IB,Grade 12,Biology HL,Ecology,Climate Change: Evidence & Impacts (Intro),26,10,6,2,8
IB,Grade 12,Biology HL,Ecology,Energy Flow & Trophic Levels,26,10,6,2,8
IB,Grade 12,Biology HL,Ecology,Mesocosms & Experiments,26,10,6,2,8
IB,Grade 12,Biology HL,Ecology,Nutrient Cycles: Carbon & Nitrogen,26,10,6,2,8
IB,Grade 12,Biology HL,Ecology,Population Sampling & Niches,26,10,6,2,8
IB,Grade 12,Biology HL,Ecology,"Species, Communities & Ecosystems",26,10,6,2,8
IB,Grade 12,Biology HL,Ecology & Conservation (HL),Biodiversity Indices & Sampling,26,10,6,2,8
IB,Grade 12,Biology HL,Ecology & Conservation (HL),Biogeochemical Cycles: Human Impact,26,10,6,2,8
IB,Grade 12,Biology HL,Ecology & Conservation (HL),Carrying Capacity & Logistic Growth,26,10,6,2,8
IB,Grade 12,Biology HL,Ecology & Conservation (HL),Community Interactions & Niches,26,10,6,2,8
IB,Grade 12,Biology HL,Ecology & Conservation (HL),Conservation Strategies (In/Ex situ),26,10,6,2,8
