curriculum,grade,subject,topic,subtopic,target_total,target_mcq,target_fill,target_match,target_frq
IB,Grade 12,Chemistry HL,Acids & Bases,Acid–Base Titrations & Curves (Intro),26,10,6,2,8
IB,Grade 12,Chemistry HL,Acids & Bases,Definitions: Arrhenius/Bronsted; Lewis (Intro),26,10,6,2,8
IB,Grade 12,Chemistry HL,Acids & Bases,Indicators & Buffer Concepts (Intro),26,10,6,2,8
IB,Grade 12,Chemistry HL,Acids & Bases,Neutralization & Salt Hydrolysis (Intro),26,10,6,2,8
IB,Grade 12,Chemistry HL,Acids & Bases,Strong vs Weak; Conductivity & pH,26,10,6,2,8
IB,Grade 12,Chemistry HL,Acids & Bases,"pH, pOH, Kw at 25°C",26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic & Electronic Structure (HL),Effective Nuclear Charge & Shielding,26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic & Electronic Structure (HL),Mass Spectrometry: Isotopic Patterns,26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic & Electronic Structure (HL),Spectral Line Splitting (Qualitative),26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic & Electronic Structure (HL),Successive Ionization Energy Patterns,26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic & Electronic Structure (HL),Wave–Particle Duality in Atomic Models,26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic & Electronic Structure (HL),d-Block Electron Configurations (Ions),26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic Structure,"Electron Configuration (Aufbau, Pauli, Hund)",26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic Structure,Emission Spectra & Energy Levels,26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic Structure,First Ionization Energy & Trends,26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic Structure,Nuclear Notation & Stability (Qualitative),26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic Structure,Relative Atomic Mass & Mass Spectrometry,26,10,6,2,8
IB,Grade 12,Chemistry HL,Atomic Structure,Subatomic Particles & Isotopes,26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure,"Covalent Bonding, Polarity & Bond Order",26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure,"Intermolecular Forces (LDF, Dipole, H-bond)",26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure,Ionic Bonding & Lattice (Qualitative),26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure,"Lewis Structures, Octet Exceptions, Resonance",26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure,Metallic Bonding & Properties,26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure,VSEPR Shapes & Molecular Geometry,26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure (HL),Delocalization & Resonance (Benzene/Ozone),26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure (HL),Formal Charge & Stability,26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure (HL),"Hybridization (sp, sp2, sp3)",26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure (HL),Intermolecular Forces & Polarizability,26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure (HL),Lattice Enthalpy (Intro to Born–Haber),26,10,6,2,8
IB,Grade 12,Chemistry HL,Bonding & Structure (HL),Molecular Orbital Concepts (Qualitative),26,10,6,2,8
IB,Grade 12,Chemistry HL,Chemical Kinetics,Catalysts & Surface Area,26,10,6,2,8
IB,Grade 12,Chemistry HL,Chemical Kinetics,Collision Theory & Maxwell–Boltzmann (Qual.),26,10,6,2,8
IB,Grade 12,Chemistry HL,Chemical Kinetics,Concentration & Temperature Effects,26,10,6,2,8
IB,Grade 12,Chemistry HL,Chemical Kinetics,Elementary Steps (Qualitative),26,10,6,2,8
IB,Grade 12,Chemistry HL,Chemical Kinetics,Rate Graphs & Initial Rate (Intro),26,10,6,2,8
IB,Grade 12,Chemistry HL,Chemical Kinetics,Rate of Reaction & Measurement,26,10,6,2,8
IB,Grade 12,Chemistry HL,Chemical Kinetics (HL),Arrhenius Equation & Activation Energy,26,10,6,2,8
IB,Grade 12,Chemistry HL,Chemical Kinetics (HL),Catalysis: Homo/Heterogeneous,26,10,6,2,8
